ID,rodada,data,hora,dia,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_placar,visitante_placar,mandante_estado,visitante_estado,estado_vencedor
7472,21,2021-09-19,16:01,Domingo,Sao Paulo,Atletico-GO,4-3-3,4-4-2,E. de Souza Barroca,E. de Souza Barroca,Sao Paulo,morumbi,2,1,SP,GO,SP
7473,21,2021-09-19,18:15,Domingo,Corinthians,America-MG,4-3-3,4-2-3-1,V. Carmo Mancini,V. Carmo Mancini,-,neo quimica arena,1,1,SP,MG,-
7474,21,2021-09-19,20:30,Domingo,Flamengo,Gremio,4-2-3-1,4-2-3-1,L. Scolari,L. Scolari,Gremio,maracana,0,1,RJ,RS,RS
7475,21,2021-09-20,20:00,Segunda-feira,Cuiaba,Fluminense,4-2-3-1,4-3-3,M. de Oliveira,M. de Oliveira,-,arena pantanal,2,2,MT,RJ,-
7476,22,2021-09-25,17:00,Sabado,Ceara,Chapecoense,4-2-3-1,4-1-4-1,L. de Oliveira Preto,L. de Oliveira Preto,Ceara,arena castelao,1,0,CE,SC,CE
7477,22,2021-09-25,19:00,Sabado,Corinthians,Palmeiras,4-3-3,4-2-3-1,A. Moreira Ferreira,A. Moreira Ferreira,Corinthians,neo quimica arena,2,1,SP,SP,SP
7478,22,2021-09-25,21:00,Sabado,Sao Paulo,Atletico-MG,3-4-1-2,3-5-2,A. Stival,A. Stival,-,morumbi,0,0,SP,MG,-
7479,22,2021-09-26,11:04,Domingo,America-MG,Flamengo,4-2-3-1,4-3-3,Renato Gaúcho,Renato Gaúcho,-,estadio raimundo sampaio,1,1,MG,RJ,-
7480,22,2021-09-26,16:00,Domingo,Internacional,Bahia,4-2-3-1,4-4-2,D. Dabove,D. Dabove,Internacional,estadio jose pinheiro borda,2,0,RS,BA,RS
7481,22,2021-09-26,16:00,Domingo,Fluminense,Bragantino,4-3-3,4-2-3-1,M. Nogueira Barbieri,M. Nogueira Barbieri,Fluminense,maracana,2,1,RJ,SP,RJ
7482,22,2021-09-26,16:00,Domingo,Juventude,Santos,3-4-2-1,3-4-1-2,F. Carille,F. Carille,Juventude,alfredo jaconi,3,0,RS,SP,RS
7483,22,2021-09-26,18:16,Domingo,Sport,Fortaleza,4-2-3-1,3-4-1-2,J. Vojvoda,J. Vojvoda,Fortaleza,arena de pernambuco,0,1,PE,CE,CE
7484,22,2021-09-26,18:15,Domingo,Athletico-PR,Gremio,3-4-2-1,4-2-3-1,L. Scolari,L. Scolari,Athletico-PR,estadio joaquim americo guimaraes,4,2,PR,RS,PR
7485,22,2021-09-26,20:30,Domingo,Atletico-GO,Cuiaba,4-2-3-1,4-4-2,J. de Amorim Campos,J. de Amorim Campos,-,estadio antonio accioly,0,0,GO,MT,-
7486,23,2021-10-02,17:01,Sabado,Cuiaba,America-MG,4-2-3-1,4-2-3-1,V. Carmo Mancini,V. Carmo Mancini,America-MG,arena pantanal,0,2,MT,MG,MG
7487,23,2021-10-02,17:01,Sabado,Fortaleza,Atletico-GO,3-4-1-2,4-2-3-1,E. de Souza Barroca,E. de Souza Barroca,Atletico-GO,arena castelao,0,3,CE,GO,GO
